lon,lat,owner,watershed,type,form
-71.12365700020,42.41110243730,,IN-2528,STORM WATER INLET,
-71.12451728350,42.41150797200,,IN-2501,STORM WATER INLET,
-71.12525375340,42.41191746160,,IN-2478,STORM WATER INLET,
-71.12523983270,42.41198289070,,IN-2479,STORM WATER INLET,
-71.12592425240,42.41229161870,,IN-2480,STORM WATER INLET,
-71.12591911880,42.41236213320,,IN-2481,STORM WATER INLET,
-71.12667768730,42.41269802670,,IN-2398,STORM WATER INLET,
-71.12663695460,42.41276366960,,IN-2399,STORM WATER INLET,
-71.12773586270,42.41330149210,,IN-2393,STORM WATER INLET,
-71.12767878230,42.41334181540,,IN-2394,STORM WATER INLET,
-71.12829732840,42.41361164380,,IN-2391,STORM WATER INLET,
-71.12824605490,42.41365310690,,IN-2392,STORM WATER INLET,
-71.12918063270,42.41409674690,,IN-2390,STORM WATER INLET,
-71.08952376760,42.42046816800,,IN-1774,STORM WATER INLET,
-71.08950526910,42.42053854860,,IN-1775,STORM WATER INLET,
-71.09010458550,42.42055936390,,IN-1777,STORM WATER INLET,
-71.09009656120,42.42062661570,,IN-1776,STORM WATER INLET,
-71.09090164310,42.42068470870,,IN-1796,STORM WATER INLET,
-71.09571422970,42.41358648100,,IN-2070,STORM WATER INLET,
-71.09578280140,42.41363177350,,IN-2069,STORM WATER INLET,
-71.09019604990,42.42442766310,,IN-1623,STORM WATER INLET,
-71.10795270510,42.42261774370,,IN-1084,STORM WATER INLET,
-71.10887477650,42.42327795080,,IN-1081,STORM WATER INLET,
-71.11049788390,42.42387218360,,IN-976,STORM WATER INLET,
-71.11144306410,42.42390858140,,IN-962,STORM WATER INLET,
-71.09181197420,42.42842622950,,IN-1581,STORM WATER INLET,
-71.09161746820,42.42972044170,,IN-1479,STORM WATER INLET,
-71.09170538810,42.42972696630,,IN-1480,STORM WATER INLET,
-71.09180397320,42.43007959750,,IN-1477,STORM WATER INLET,
-71.09179475430,42.43015634920,,IN-1478,STORM WATER INLET,
-71.08630413040,42.41804769220,,IN-2011,STORM WATER INLET,
-71.08676799700,42.41812554870,,IN-1994,STORM WATER INLET,
-71.08636382790,42.41814611700,,IN-1183,STORM WATER INLET,
-71.08703096270,42.41816993340,,IN-1993,STORM WATER INLET,
-71.08679305460,42.41821510900,,IN-1995,STORM WATER INLET,
-71.08755629630,42.41825606830,,IN-1991,STORM WATER INLET,
-71.08778354730,42.41829281950,,IN-3002,STORM WATER INLET,
-71.08738832620,42.41831393750,,IN-3003,STORM WATER INLET,
-71.08775330960,42.41837616600,,IN-2912,STORM WATER INLET,
-71.08864846040,42.41843981360,,IN-2911,STORM WATER INLET,
-71.08861916570,42.41852144320,,IN-3001,STORM WATER INLET,
-71.08950239410,42.41858280800,,IN-1965,STORM WATER INLET,
-71.08947350990,42.41866480660,,IN-3000,STORM WATER INLET,
-71.09034388020,42.41872594810,,IN-1964,STORM WATER INLET,
-71.09031762940,42.41880916890,,IN-2915,STORM WATER INLET,
-71.09140214140,42.41890386400,,IN-1802,STORM WATER INLET,
